id,region,year,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price,manufacturer
13906,"st louis, MO",2007,excellent,4 cylinders,gas,196784,lien,automatic,fwd,mid-size,SUV,silver,mo,15324,toyota
13907,delaware,2010,good,4 cylinders,gas,185229,clean,automatic,fwd,full-size,truck,white,de,3297,ford
13908,des moines,1999,good,6 cylinders,gas,178378,clean,automatic,fwd,full-size,SUV,grey,,8367,ford
13909,rochester,2016,like new,6 cylinders,diesel,178101,clean,automatic,4wd,full-size,truck,blue,,55009,ford
13910,phoenix,1996,fair,6 cylinders,gas,226265,clean,manual,rwd,mid-size,convertible,silver,az,1033,mercedes-benz
13911,youngstown,1997,excellent,8 cylinders,gas,33886,clean,automatic,4wd,full-size,other,white,,34687,chevrolet
13912,rhode island,2007,good,6 cylinders,gas,138117,clean,automatic,4wd,full-size,SUV,brown,ri,7779,ford
13913,redding,2013,excellent,6 cylinders,gas,163903,clean,automatic,fwd,full-size,sedan,silver,ca,8246,chevrolet
13914,los angeles,2016,like new,4 cylinders,gas,78093,rebuilt,automatic,rwd,mid-size,convertible,black,ca,23978,ford
13915,eastern montana,2014,like new,6 cylinders,gas,152830,parts only,automatic,fwd,full-size,sedan,blue,mt,8797,acura
13916,louisville,2015,excellent,4 cylinders,gas,96854,clean,manual,fwd,compact,hatchback,black,ky,7121,toyota
13917,ft myers / SW florida,2014,excellent,8 cylinders,gas,163841,clean,automatic,4wd,full-size,SUV,black,fl,8251,mercedes-benz
13918,flagstaff / sedona,2013,like new,8 cylinders,gas,115864,clean,automatic,4wd,full-size,coupe,green,az,22430,chevrolet
13919,missoula,1993,fair,8 cylinders,gas,158002,clean,manual,rwd,mid-size,truck,white,mt,35440,ram
13920,ocala,2018,good,4 cylinders,gas,91901,clean,automatic,fwd,full-size,coupe,red,,16644,chevrolet
13921,minneapolis / st paul,2015,excellent,8 cylinders,gas,93136,clean,automatic,rwd,full-size,truck,white,mn,9245,ford
13922,buffalo,2018,like new,4 cylinders,gas,50823,clean,automatic,fwd,mid-size,sedan,grey,ny,19632,buick
13923,cleveland,2014,excellent,4 cylinders,gas,98322,clean,automatic,fwd,full-size,sedan,black,oh,9827,honda
13924,knoxville,1995,excellent,6 cylinders,gas,31747,clean,automatic,4wd,full-size,SUV,black,tn,7606,bmw
13925,st cloud,2010,excellent,6 cylinders,gas,122177,clean,automatic,fwd,full-size,sedan,blue,,6490,toyota
13926,"washington, DC",2007,good,6 cylinders,gas,237600,clean,manual,4wd,compact,sedan,red,,7751,honda
13927,fargo / moorhead,2012,excellent,6 cylinders,gas,98244,clean,automatic,fwd,full-size,coupe,white,mn,5652,buick
13928,orlando,2007,good,6 cylinders,gas,224380,clean,automatic,fwd,full-size,sedan,black,fl,4191,mercedes-benz
13929,"washington, DC",2009,like new,6 cylinders,gas,112377,clean,automatic,rwd,mid-size,coupe,silver,dc,9862,ford
13930,huntsville / decatur,1995,like new,4 cylinders,gas,185199,clean,automatic,fwd,full-size,sedan,blue,al,5784,lincoln
13931,cape cod / islands,2018,good,4 cylinders,gas,132467,clean,automatic,fwd,mid-size,sedan,blue,,9160,kia
13932,gainesville,2011,excellent,6 cylinders,gas,80998,clean,automatic,fwd,mid-size,van,black,,17339,ford
13933,jacksonville,2001,excellent,8 cylinders,gas,94389,clean,manual,4wd,mid-size,SUV,black,fl,6004,bmw
13934,nashville,1997,excellent,6 cylinders,gas,201359,clean,automatic,fwd,mid-size,truck,silver,tn,22937,nissan
13935,seattle-tacoma,2014,like new,6 cylinders,gas,100073,rebuilt,automatic,fwd,full-size,sedan,black,wa,12067,ford
13936,chicago,2010,excellent,6 cylinders,gas,121566,clean,automatic,fwd,full-size,sedan,silver,il,6430,ford
13937,richmond,2016,good,8 cylinders,gas,31183,clean,automatic,rwd,full-size,truck,black,va,44212,ford
13938,new york city,2014,like new,6 cylinders,gas,166038,clean,automatic,fwd,midーsize,SUV,blue,ny,3642,toyota
13939,bellingham,2014,like new,6 cylinders,diesel,193111,clean,automatic,4wd,full-size,pickup,green,wa,27603,ram
13940,central NJ,2014,like new,4 cylinders,gas,137314,clean,automatic,fwd,compact,sedan,silver,nj,3558,honda
13941,san antonio,2005,excellent,6 cylinders,gas,157877,rebuilt,automatic,fwd,mid-size,coupe,silver,tx,3795,honda
13942,philadelphia,2004,excellent,6 cylinders,gas,78688,rebuilt,manual,fwd,mid-size,coupe,orange,pa,6182,chevrolet
13943,victoria,2007,fair,4 cylinders,gas,263604,clean,automatic,fwd,full-size,sedan,green,,4476,mercury
13944,san antonio,2003,good,8 cylinders,gas,46482,clean,automatic,rwd,full-size,coupe,black,tx,6746,chevrolet
13945,pittsburgh,2017,like new,6 cylinders,gas,16568,clean,automatic,fwd,full-size,SUV,black,pa,25867,ford
13946,plattsburgh-adirondacks,1997,fair,8 cylinders,gas,203813,missing,manual,4wd,full-size,SUV,green,ny,1400,lincoln
13947,dayton / springfield,2009,excellent,4 cylinders,hybrid,327699,clean,automatic,fwd,mid-size,sedan,silver,oh,5762,toyota
13948,tampa bay area,2015,excellent,6 cylinders,gas,187541,clean,automatic,fwd,mid-size,sedan,blue,fl,4271,ford
13949,vermont,2011,like new,8 cylinders,gas,226858,clean,automatic,4wd,full-size,pickup,green,vt,4695,ram
13950,central NJ,2015,good,4 cylinders,gas,100474,clean,automatic,fwd,compact,hatchback,black,nj,6110,volkswagen
13951,albany,1980,excellent,6 cylinders,gas,88536,clean,manual,rwd,full-size,coupe,grey,ny,8010,chevrolet
13952,inland empire,2017,excellent,8 cylinders,gas,19911,clean,manual,rwd,full-size,pickup,grey,ca,43293,ford
13953,sandusky,2009,good,4 cylinders,gas,217783,,manual,fwd,full-size,,grey,oh,2545,toyota
13954,omaha / council bluffs,2011,excellent,4 cylinders,gas,10109,clean,automatic,fwd,compact,sedan,white,ia,20051,mitsubishi
13955,western slope,2012,like new,4 cylinders,,140718,rebuilt,other,fwd,full-size,sedan,black,,5030,nissan
13956,rhode island,2012,excellent,4 cylinders,,158262,clean,automatic,fwd,mid-size,sedan,silver,,8176,toyota
13957,norfolk / hampton roads,2006,excellent,6 cylinders,gas,169954,clean,automatic,fwd,mid-size,sedan,blue,va,21956,chevrolet
13958,albany,2011,excellent,8 cylinders,gas,198271,clean,automatic,4wd,full-size,truck,silver,ny,31359,toyota
13959,ventura county,2009,excellent,6 cylinders,gas,139869,clean,automatic,fwd,mid-size,coupe,black,ca,6719,buick
13960,albuquerque,2007,fair,6 cylinders,gas,306521,,manual,4wd,full-size,,silver,,3148,ford
13961,central NJ,2013,excellent,6 cylinders,gas,191378,clean,automatic,rwd,mid-size,pickup,white,nj,10244,toyota
13962,minneapolis / st paul,1998,good,4 cylinders,gas,219140,clean,automatic,4wd,full-size,SUV,white,mn,19648,ford
13963,maine,1993,fair,8 cylinders,gas,26507,clean,automatic,4wd,full-size,sedan,black,me,6839,ford
13964,south jersey,2006,excellent,6 cylinders,gas,-1,clean,automatic,4wd,full-size,SUV,black,nj,21191,chevrolet
13965,pittsburgh,2004,excellent,6 cylinders,,110474,clean,automatic,fwd,full-size,pickup,grey,pa,7964,chevrolet
13966,roswell / carlsbad,2009,excellent,6 cylinders,gas,142227,clean,automatic,fwd,full-size,sedan,blue,nm,24982,ford
13967,atlanta,2012,like new,4 cylinders,gas,121080,clean,other,fwd,mid-size,sedan,silver,ga,6012,acura
13968,charlotte,2011,good,6 cylinders,gas,109540,clean,automatic,fwd,mid-size,SUV,black,nc,8858,buick
13969,knoxville,2014,excellent,8 cylinders,gas,166521,clean,manual,fwd,compact,hatchback,black,tn,6533,chevrolet
13970,fresno / madera,2017,like new,4 cylinders,gas,75299,clean,automatic,fwd,full-size,sedan,blue,,6099,nissan
13971,fort wayne,1996,good,6 cylinders,diesel,205763,,automatic,4wd,full-size,,custom,in,23661,ford
13972,boston,2013,like new,4 cylinders,gas,92259,clean,automatic,4wd,full-size,SUV,black,ma,16436,chevrolet
13973,albany,2014,like new,4 cylinders,gas,44776,clean,automatic,fwd,full-size,hatchback,grey,ny,9497,kia
13974,new haven,2012,excellent,4 cylinders,gas,116911,clean,automatic,fwd,mid-size,sedan,silver,ct,4749,toyota
13975,cape cod / islands,2016,excellent,8 cylinders,gas,74285,clean,automatic,4wd,full-size,pickup,black,ma,20924,chevrolet
13976,central NJ,2016,like new,4 cylinders,,89773,salvage,automatic,fwd,compact,sedan,black,nj,8848,volkswagen
13977,sandusky,2006,excellent,6 cylinders,gas,41243,clean,manual,rwd,mid-size,coupe,silver,oh,13395,bmw
13978,cleveland,2009,excellent,6 cylinders,gas,54715,clean,manual,4wd,full-size,mini-van,blue,oh,23067,buick
13979,albany,2010,good,8 cylinders,gas,84327,clean,automatic,fwd,full-size,sedan,black,ny,2996,ford
13980,spokane / coeur d'alene,2000,fair,8 cylinders,gas,210707,clean,manual,4wd,full-size,truck,white,id,16089,ram
13981,albuquerque,2005,excellent,6 cylinders,gas,196840,clean,automatic,fwd,full-size,sedan,black,,6104,bmw
13982,st george,2010,excellent,4 cylinders,gas,199669,clean,automatic,fwd,full-size,sedan,black,,5087,toyota
13983,phoenix,2015,like new,6 cylinders,gas,6433,clean,automatic,fwd,full-size,sedan,silver,az,15760,mercedes-benz
13984,vermont,2014,fair,8 cylinders,gas,83283,clean,automatic,4wd,full-size,SUV,red,vt,6961,ford
13985,boston,2012,excellent,6 cylinders,gas,52388,rebuilt,automatic,fwd,mid-size,SUV,silver,ma,25621,acura
13986,madison,2001,good,6 cylinders,gas,161993,clean,manual,fwd,mid-size,SUV,black,wi,7829,toyota
13987,richmond,2014,excellent,4 cylinders,gas,82425,clean,automatic,fwd,mid-size,sedan,blue,va,7835,bmw
13988,pittsburgh,2008,excellent,8 cylinders,diesel,46295,lien,automatic,4wd,full-size,truck,black,pa,25879,ram
13989,pueblo,1996,fair,8 cylinders,gas,121772,clean,automatic,rwd,full-size,pickup,green,,2738,ram
13990,phoenix,2013,excellent,4 cylinders,gas,66521,,automatic,fwd,mid-size,,black,az,13074,ford
13991,boulder,1966,excellent,6 cylinders,gas,15915,lien,manual,fwd,mid-size,coupe,green,co,10514,ford
13992,syracuse,2012,excellent,6 cylinders,gas,140864,rebuilt,automatic,fwd,mid-size,SUV,silver,ny,23803,toyota
13993,tampa bay area,2012,excellent,4 cylinders,gas,30493,clean,automatic,fwd,mid-size,sedan,silver,fl,3329,ford
13994,bowling green,2011,like new,4 cylinders,gas,140823,clean,automatic,fwd,mid-size,sedan,white,ky,12951,chrysler
13995,"washington, DC",2006,good,8 cylinders,gas,122410,clean,manual,rwd,full-size,coupe,white,,7083,chevrolet
13996,north jersey,2006,fair,6 cylinders,gas,85247,clean,manual,rwd,mid-size,SUV,black,nj,2376,dodge
13997,eastern panhandle,2005,excellent,6 cylinders,gas,120275,clean,automatic,fwd,full-size,sedan,silver,wv,5140,chevrolet
13998,philadelphia,2015,excellent,4 cylinders,gas,115302,clean,automatic,fwd,compact,sedan,grey,pa,6923,kia
13999,toledo,2001,excellent,8 cylinders,gas,159126,salvage,manual,rwd,mid-size,truck,white,oh,2724,ford
14000,rhode island,2007,excellent,6 cylinders,gas,159199,clean,automatic,fwd,mid-size,SUV,grey,ri,4809,jeep
14001,hudson valley,2010,excellent,4 cylinders,gas,105996,clean,automatic,fwd,mid-size,sedan,grey,ny,6324,nissan
14002,colorado springs,1997,excellent,6 cylinders,gas,142562,clean,automatic,rwd,full-size,SUV,blue,co,23519,toyota
14003,"washington, DC",2009,fair,8 cylinders,gas,131352,clean,automatic,4wd,full-size,SUV,black,dc,6278,mercedes-benz
14004,spokane / coeur d'alene,2016,like new,4 cylinders,,210951,clean,automatic,fwd,full-size,sedan,silver,id,11421,honda
14005,el paso,2015,excellent,6 cylinders,gas,42953,clean,automatic,fwd,mid-size,sedan,black,tx,19319,ford
14006,santa barbara,1983,good,8 cylinders,gas,49537,clean,manual,rwd,full-size,coupe,custom,ca,24686,ford
14007,dallas / fort worth,2012,like new,4 cylinders,gas,138444,clean,automatic,fwd,compact,sedan,silver,tx,4040,honda
14008,st augustine,2004,good,6 cylinders,gas,100584,clean,automatic,fwd,full-size,sedan,brown,fl,5680,bmw
14009,jacksonville,2012,fair,4 cylinders,gas,242983,clean,manual,fwd,compact,sedan,green,fl,4130,honda
14010,madison,1999,excellent,4 cylinders,gas,61175,salvage,automatic,fwd,mid-size,sedan,black,wi,1358,honda
14011,rochester,2001,excellent,4 cylinders,gas,127553,rebuilt,automatic,4wd,mid-size,sedan,blue,ny,50306,ford
14012,billings,2010,excellent,6 cylinders,gas,153557,clean,automatic,4wd,full-size,SUV,red,mt,20268,ford
14013,"st louis, MO",2009,good,8 cylinders,gas,101291,clean,automatic,rwd,full-size,truck,white,mo,31827,chevrolet
14014,lincoln,2008,excellent,8 cylinders,gas,58569,,automatic,4wd,full-size,,black,ne,19185,chevrolet
14015,prescott,1966,excellent,6 cylinders,,100238,clean,automatic,fwd,compact,coupe,black,az,12116,ford
14016,santa barbara,2009,fair,6 cylinders,gas,229437,clean,manual,fwd,full-size,sedan,black,ca,6134,audi
14017,central NJ,2009,excellent,6 cylinders,gas,62109,clean,automatic,fwd,full-size,mini-van,black,nj,9145,chevrolet
14018,rhode island,2018,like new,6 cylinders,gas,119885,rebuilt,manual,4wd,full-size,SUV,blue,ri,19194,jeep
14019,san diego,2016,excellent,4 cylinders,gas,53368,clean,automatic,4wd,mid-size,SUV,silver,ca,14527,chevrolet
14020,charlotte,2013,excellent,6 cylinders,gas,134497,clean,manual,4wd,mid-size,SUV,white,,37736,jeep
14021,humboldt county,1996,good,6 cylinders,gas,158278,clean,automatic,4wd,full-size,SUV,black,,20041,chevrolet
14022,anchorage / mat-su,2013,excellent,4 cylinders,gas,157983,clean,automatic,4wd,mid-size,SUV,black,ak,31330,subaru
14023,boise,1996,excellent,8 cylinders,diesel,189023,clean,automatic,4wd,full-size,pickup,grey,id,10594,chevrolet
14024,boise,2017,excellent,4 cylinders,gas,122862,rebuilt,manual,4wd,mid-size,SUV,red,id,9062,bmw
14025,richmond,2010,fair,8 cylinders,gas,300987,rebuilt,automatic,4wd,full-size,sedan,black,va,5516,ram
14026,central NJ,2003,fair,6 cylinders,gas,68043,clean,manual,rwd,full-size,SUV,black,nj,11569,lincoln
14027,philadelphia,2010,good,4 cylinders,gas,186053,clean,manual,fwd,full-size,hatchback,white,pa,2982,toyota
14028,jersey shore,2014,excellent,6 cylinders,gas,16756,rebuilt,automatic,rwd,full-size,sedan,black,nj,34533,bmw
14029,daytona beach,2013,excellent,6 cylinders,gas,42433,clean,automatic,rwd,full-size,truck,silver,fl,32583,ford
14030,inland empire,2002,excellent,6 cylinders,gas,161163,clean,automatic,4wd,mid-size,SUV,black,ca,4444,chevrolet
14031,jersey shore,2007,fair,4 cylinders,gas,200172,clean,manual,fwd,mid-size,SUV,silver,nj,2010,toyota
14032,medford-ashland,2007,fair,8 cylinders,diesel,116877,clean,automatic,4wd,full-size,pickup,custom,or,16050,ram
14033,spokane / coeur d'alene,2002,excellent,8 cylinders,gas,184066,clean,manual,4wd,mid-size,truck,white,id,18004,ford
14034,toledo,2011,good,6 cylinders,gas,100834,rebuilt,other,fwd,mid-size,sedan,white,oh,7025,pontiac
14035,tampa bay area,2015,like new,4 cylinders,gas,69173,clean,manual,fwd,compact,sedan,grey,fl,7009,volkswagen
14036,south florida,1996,excellent,6 cylinders,gas,55858,clean,automatic,fwd,full-size,mini-van,blue,fl,27063,dodge
14037,daytona beach,2012,like new,8 cylinders,gas,40462,clean,automatic,4wd,full-size,SUV,black,fl,27935,chevrolet
14038,redding,2008,excellent,6 cylinders,gas,139157,clean,automatic,rwd,mid-size,van,black,,25444,ford
14039,north central FL,1981,like new,12 cylinders,gas,19819,salvage,manual,rwd,compact,coupe,white,fl,29945,mercedes-benz
14040,hartford,2013,excellent,6 cylinders,gas,103628,clean,automatic,fwd,full-size,sedan,silver,ct,8480,buick
14041,pittsburgh,1999,like new,6 cylinders,gas,34291,clean,automatic,rwd,full-size,sedan,blue,pa,8018,dodge
14042,rochester,2009,excellent,8 cylinders,diesel,106140,clean,automatic,4wd,full-size,pickup,silver,ny,20557,ford
14043,kennewick-pasco-richland,2002,good,6 cylinders,gas,109297,clean,manual,fwd,compact,sedan,green,wa,2164,toyota
14044,long island,1994,good,4 cylinders,gas,230240,clean,manual,fwd,full-size,SUV,black,ny,8241,chevrolet
14045,albany,2015,like new,8 cylinders,gas,14912,clean,automatic,4wd,full-size,truck,black,ny,39149,chevrolet
14046,st cloud,2012,excellent,4 cylinders,gas,143204,clean,manual,4wd,full-size,truck,black,mn,9062,chevrolet
14047,sacramento,2010,good,4 cylinders,gas,105765,clean,manual,fwd,full-size,hatchback,green,ca,7530,honda
14048,sioux falls / SE SD,2011,good,4 cylinders,gas,148188,clean,automatic,fwd,compact,sedan,black,sd,5880,nissan
14049,"st louis, MO",2010,excellent,8 cylinders,gas,133861,clean,automatic,rwd,full-size,SUV,black,mo,4613,ford
14050,fargo / moorhead,2011,excellent,6 cylinders,gas,14152,clean,automatic,4wd,mid-size,SUV,black,mn,17587,buick
14051,palm springs,1992,good,6 cylinders,,135813,clean,manual,rwd,full-size,coupe,blue,ca,6945,bmw
14052,"washington, DC",1996,good,8 cylinders,diesel,118161,clean,manual,4wd,full-size,truck,white,dc,20886,ram
14053,western massachusetts,2016,excellent,4 cylinders,gas,67507,clean,other,fwd,full-size,SUV,white,ma,37938,toyota
14054,odessa / midland,1992,good,8 cylinders,gas,37864,clean,manual,fwd,full-size,coupe,green,,10555,chevrolet
14055,myrtle beach,2012,excellent,6 cylinders,diesel,22659,clean,manual,4wd,mid-size,pickup,red,sc,39271,ram
14056,chicago,1999,excellent,6 cylinders,gas,160698,clean,automatic,fwd,compact,sedan,silver,il,3791,bmw
14057,reno / tahoe,2015,fair,6 cylinders,gas,152063,clean,other,4wd,mid-size,SUV,blue,ca,8841,subaru
14058,atlanta,2012,excellent,4 cylinders,gas,98497,rebuilt,automatic,fwd,compact,sedan,blue,ga,6543,volkswagen
14059,chicago,2016,excellent,6 cylinders,gas,31796,clean,automatic,fwd,mid-size,sedan,black,il,16289,nissan
14060,central NJ,2012,like new,6 cylinders,gas,82310,rebuilt,automatic,fwd,mid-size,sedan,blue,nj,6146,nissan
14061,portland,2014,excellent,6 cylinders,gas,146374,clean,automatic,fwd,compact,sedan,blue,or,19874,bmw
14062,evansville,1990,good,4 cylinders,gas,22726,clean,manual,fwd,full-size,SUV,white,in,24448,cadillac
14063,green bay,2018,excellent,4 cylinders,gas,61251,clean,automatic,fwd,mid-size,sedan,blue,wi,14656,toyota
14064,medford-ashland,2011,excellent,6 cylinders,gas,44479,rebuilt,other,fwd,compact,coupe,silver,,20264,bmw
14065,pittsburgh,2011,excellent,6 cylinders,gas,194917,clean,automatic,4wd,full-size,SUV,blue,pa,5572,ford
14066,omaha / council bluffs,2017,good,4 cylinders,gas,24478,rebuilt,automatic,fwd,mid-size,hatchback,black,ia,8879,audi
14067,albuquerque,2011,fair,8 cylinders,gas,220140,clean,manual,rwd,mid-size,truck,green,,3823,chevrolet
14068,hudson valley,2018,excellent,6 cylinders,gas,169500,rebuilt,automatic,4wd,mid-size,truck,red,ny,23800,jeep
14069,green bay,2013,excellent,4 cylinders,gas,58716,clean,other,fwd,mid-size,hatchback,blue,wi,24836,volkswagen
14070,central NJ,2014,excellent,6 cylinders,gas,128128,clean,automatic,rwd,compact,sedan,black,nj,11187,hyundai
14071,dallas / fort worth,1934,excellent,6 cylinders,gas,9551,clean,automatic,rwd,full-size,coupe,red,tx,27228,chevrolet
14072,rhode island,1937,fair,6 cylinders,gas,139911,clean,automatic,fwd,full-size,sedan,green,ri,5096,ford
14073,tucson,2012,like new,6 cylinders,gas,4956,clean,manual,rwd,full-size,pickup,black,az,20497,ford
14074,minneapolis / st paul,2006,excellent,4 cylinders,gas,104860,clean,automatic,fwd,mid-size,sedan,silver,mn,7025,volkswagen
14075,sacramento,2006,excellent,4 cylinders,gas,176444,clean,automatic,4wd,mid-size,SUV,silver,ca,7337,jeep
14076,spokane / coeur d'alene,2010,excellent,6 cylinders,gas,123652,clean,automatic,fwd,compact,sedan,white,id,6680,honda
14077,green bay,2011,excellent,8 cylinders,gas,174827,clean,automatic,fwd,full-size,SUV,silver,wi,6308,chevrolet
14078,victoria,2006,excellent,4 cylinders,gas,135463,clean,manual,fwd,mid-size,wagon,green,tx,2074,ford
14079,tampa bay area,1998,fair,8 cylinders,gas,131663,clean,manual,rwd,full-size,pickup,green,fl,13947,ford
14080,baltimore,2014,excellent,4 cylinders,gas,57563,rebuilt,automatic,fwd,compact,sedan,black,md,2634,hyundai
14081,rhode island,1999,excellent,4 cylinders,gas,63792,clean,automatic,fwd,mid-size,sedan,green,ri,27236,mitsubishi
14082,north jersey,2011,like new,4 cylinders,gas,151846,clean,automatic,4wd,full-size,pickup,silver,nj,16588,ford
14083,space coast,1999,like new,8 cylinders,gas,90282,clean,automatic,rwd,full-size,coupe,green,,12735,chevrolet
14084,baltimore,2014,excellent,8 cylinders,gas,152719,clean,automatic,4wd,full-size,SUV,silver,,8063,chevrolet
14085,albany,2007,good,4 cylinders,gas,78997,clean,automatic,fwd,compact,sedan,black,ny,5610,bmw
14086,south florida,2013,excellent,6 cylinders,gas,99202,clean,automatic,fwd,compact,coupe,black,fl,7639,nissan
14087,omaha / council bluffs,2016,excellent,6 cylinders,diesel,4819,clean,automatic,4wd,full-size,pickup,black,ia,36774,ram
14088,des moines,2011,excellent,8 cylinders,diesel,41682,rebuilt,automatic,4wd,full-size,pickup,black,ia,24583,nissan
14089,central NJ,2013,good,6 cylinders,gas,109719,clean,automatic,fwd,full-size,SUV,silver,nj,8956,jeep
14090,madison,2008,like new,8 cylinders,gas,179522,clean,automatic,fwd,full-size,sedan,green,,9989,ford
14091,hawaii,2013,like new,4 cylinders,gas,51539,clean,automatic,fwd,full-size,sedan,black,hi,18761,hyundai
14092,las vegas,2015,good,6 cylinders,gas,188741,clean,automatic,fwd,mid-size,sedan,custom,nv,2339,ford
14093,baltimore,2011,like new,4 cylinders,gas,25270,salvage,automatic,fwd,full-size,sedan,blue,md,8643,chevrolet
14094,dallas / fort worth,2014,excellent,4 cylinders,gas,113913,clean,automatic,fwd,mid-size,sedan,blue,tx,12622,nissan
14095,rhode island,2012,excellent,6 cylinders,gas,108714,clean,automatic,fwd,compact,SUV,silver,ri,7673,toyota
14096,san antonio,2018,like new,6 cylinders,diesel,114387,clean,automatic,4wd,full-size,truck,silver,tx,36120,ford
14097,pittsburgh,1998,good,6 cylinders,gas,140198,clean,manual,fwd,mid-size,truck,white,pa,18955,ford
14098,bakersfield,2011,good,6 cylinders,gas,113511,clean,automatic,4wd,full-size,truck,blue,ca,22922,chevrolet
14099,fort wayne,1996,fair,8 cylinders,gas,187130,clean,manual,fwd,mid-size,coupe,black,,8251,ford
14100,cape cod / islands,2013,good,6 cylinders,gas,114381,clean,automatic,rwd,full-size,sedan,grey,ma,14898,bmw
14101,pittsburgh,2011,excellent,4 cylinders,gas,87098,clean,automatic,fwd,mid-size,sedan,silver,pa,16346,buick
14102,inland empire,2012,excellent,4 cylinders,gas,87234,rebuilt,automatic,fwd,mid-size,sedan,black,ca,20480,ford
14103,modesto,1998,good,4 cylinders,gas,191145,clean,automatic,fwd,mid-size,wagon,green,ca,1686,toyota
14104,knoxville,2010,excellent,6 cylinders,diesel,74141,,other,4wd,mid-size,,black,tn,20402,bmw
14105,mohave county,2007,fair,8 cylinders,gas,173459,rebuilt,automatic,4wd,full-size,SUV,grey,az,13843,chevrolet
14106,rochester,1970,excellent,8 cylinders,gas,79792,clean,manual,rwd,full-size,truck,black,ny,19246,bmw
14107,huntsville / decatur,2019,excellent,6 cylinders,gas,106191,clean,automatic,4wd,full-size,SUV,black,al,11781,ford
14108,new hampshire,2016,excellent,4 cylinders,gas,100984,rebuilt,automatic,fwd,mid-size,sedan,black,,8025,honda
14109,st cloud,2009,fair,4 cylinders,gas,150029,rebuilt,automatic,fwd,compact,sedan,silver,mn,6137,toyota
14110,denver,2015,excellent,4 cylinders,gas,5135,clean,automatic,fwd,mid-size,SUV,silver,co,23643,honda
14111,south coast,1993,fair,8 cylinders,gas,130592,clean,manual,rwd,full-size,convertible,green,ma,2479,cadillac
14112,richmond,2011,excellent,4 cylinders,gas,98178,clean,manual,fwd,mid-size,sedan,blue,va,4453,honda
14113,baltimore,2014,like new,4 cylinders,gas,33324,clean,automatic,fwd,compact,sedan,black,md,8171,volkswagen
14114,knoxville,2005,excellent,6 cylinders,gas,111588,clean,manual,rwd,mid-size,convertible,black,tn,17990,bmw
14115,winston-salem,2003,excellent,6 cylinders,gas,76587,clean,automatic,rwd,mid-size,coupe,silver,nc,8985,bmw
14116,rhode island,2008,excellent,4 cylinders,,268203,salvage,automatic,4wd,full-size,SUV,black,ri,4773,ford
14117,waterloo / cedar falls,1984,fair,6 cylinders,gas,113359,,manual,fwd,mid-size,,red,ia,2739,ford
14118,little rock,2010,excellent,4 cylinders,gas,77197,clean,automatic,fwd,mid-size,SUV,grey,,20199,toyota
14119,orlando,2011,excellent,6 cylinders,gas,151157,clean,automatic,fwd,mid-size,sedan,grey,fl,7049,toyota
14120,omaha / council bluffs,2004,good,6 cylinders,gas,47389,clean,manual,rwd,mid-size,coupe,red,ia,3637,ford
14121,omaha / council bluffs,2000,excellent,6 cylinders,gas,186354,clean,manual,fwd,full-size,SUV,silver,,1334,bmw
14122,reno / tahoe,2015,excellent,6 cylinders,gas,47698,clean,automatic,4wd,full-size,SUV,blue,ca,19056,buick
14123,treasure coast,2012,good,8 cylinders,gas,2679,clean,automatic,rwd,full-size,van,purple,fl,22223,chevrolet
14124,bozeman,2013,excellent,6 cylinders,gas,119128,clean,automatic,4wd,full-size,pickup,white,mt,17031,ford
14125,los angeles,2020,like new,4 cylinders,gas,54558,salvage,automatic,fwd,compact,sedan,black,ca,19308,bmw
14126,stockton,2005,excellent,6 cylinders,gas,130860,clean,automatic,fwd,mid-size,coupe,black,ca,4715,buick
14127,visalia-tulare,1976,excellent,8 cylinders,gas,15973,clean,manual,rwd,full-size,coupe,white,ca,15330,ford
14128,tucson,2015,excellent,4 cylinders,gas,65507,clean,automatic,fwd,full-size,hatchback,white,az,7764,chevrolet
14129,south jersey,2014,good,4 cylinders,gas,93614,lien,automatic,fwd,mid-size,SUV,black,nj,6103,jeep
14130,morgantown,2014,excellent,4 cylinders,gas,229815,clean,automatic,fwd,mid-size,SUV,blue,,13274,volkswagen
14131,wilmington,2012,excellent,6 cylinders,gas,63875,clean,automatic,fwd,full-size,sedan,black,de,20206,ford
14132,central NJ,2003,fair,6 cylinders,gas,162431,clean,automatic,fwd,mid-size,SUV,blue,nj,3924,honda
14133,northeast SD,2014,good,4 cylinders,gas,184375,salvage,automatic,fwd,compact,sedan,black,sd,3773,nissan
14134,appleton-oshkosh-FDL,2014,excellent,6 cylinders,diesel,119199,clean,manual,4wd,full-size,truck,black,wi,28599,ram
14135,mcallen / edinburg,2014,excellent,4 cylinders,gas,152213,rebuilt,manual,fwd,compact,sedan,silver,tx,4105,chevrolet
14136,stockton,2012,excellent,8 cylinders,gas,60498,salvage,manual,fwd,full-size,sedan,black,ca,6859,chevrolet
14137,billings,2011,like new,4 cylinders,gas,104280,clean,automatic,fwd,full-size,SUV,black,mt,18175,chevrolet
14138,fredericksburg,2011,good,4 cylinders,gas,43197,clean,automatic,fwd,full-size,SUV,black,va,25747,ford
14139,dallas / fort worth,2005,good,6 cylinders,gas,115746,clean,automatic,fwd,mid-size,sedan,red,tx,7894,nissan
14140,billings,1999,excellent,8 cylinders,diesel,147435,clean,automatic,4wd,full-size,truck,silver,mt,4045,ford
